Name,BASIC PAY,DEPARTMENT,AGE,STATUS
Peter,15000,Computer,34,Single
John,17000,Computer,44,Maried
Kaman,19000,Finance,33,Divorced
Charles,21000,Research,33,Single
Johns,23000,Research,25,Single
Thomas,25000,Computer,26,Maried
Ann,27000,Finance,28,Maried
Susan,29000,Finance,29,Divorced
Tina,31000,Research,24,Divorced
Andrew,33000,Computer,40,Single
Hardy,35000,Finance,20,Maried
Njeri,37000,Finance,43,Single
Kimani,10000,Research,15,Single
Silamtoi,15000,Finance,35,Divorced
Tina,35000,Computer,25,Maried
Moses,59000,Research,33,Single
Miriam,70000,Finance,56,Divorced
Maurice,32876,Computer,70,Divorced
Alphie,43876,Research,98,Divorced
Albert,48098,Research,32,Single
Langat,6500,Computer,12,Single
Phenny,29000,Finance,70,Single
Hilda,32000,Computer,13,Maried
